"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.urssaf.fr/193.178.136.246","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.urssaf.fr/193.178.136.246","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.urssaf.fr/193.178.136.246","443","OK","not offered","",""
"SSLv3","www.urssaf.fr/193.178.136.246","443","OK","not offered","",""
"TLS1","www.urssaf.fr/193.178.136.246","443","INFO","not offered","",""
"TLS1_1","www.urssaf.fr/193.178.136.246","443","INFO","not offered","",""
"TLS1_2","www.urssaf.fr/193.178.136.246","443","OK","offered","",""
"TLS1_3","www.urssaf.fr/193.178.136.246","443","OK","offered with final","",""
"ALPN","www.urssaf.fr/193.178.136.246","443","INFO","not offered","",""
"cipherlist_NULL","www.urssaf.fr/193.178.136.246","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.urssaf.fr/193.178.136.246","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.urssaf.fr/193.178.136.246","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.urssaf.fr/193.178.136.246","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.urssaf.fr/193.178.136.246","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.urssaf.fr/193.178.136.246","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.urssaf.fr/193.178.136.246","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.urssaf.fr/193.178.136.246","443","OK","offered","",""
"cipher_order-tls1_2","www.urssaf.fr/193.178.136.246","443","OK","server","",""
"cipherorder_TLSv1_2","www.urssaf.fr/193.178.136.246","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.urssaf.fr/193.178.136.246","443","OK","server","",""
"FS","www.urssaf.fr/193.178.136.246","443","OK","offered","",""
"FS_ciphers","www.urssaf.fr/193.178.136.246","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_KEMs","www.urssaf.fr/193.178.136.246","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.urssaf.fr/193.178.136.246","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.urssaf.fr/193.178.136.246","443","INFO","'server name/#0' 'EC point formats/#11' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.urssaf.fr/193.178.136.246","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.urssaf.fr/193.178.136.246","443","INFO","yes","",""
"sessionresumption_ticket","www.urssaf.fr/193.178.136.246","443","INFO","not supported","",""
"sessionresumption_ID","www.urssaf.fr/193.178.136.246","443","INFO","supported","",""
"TLS_timestamp","www.urssaf.fr/193.178.136.246","443","INFO","random","",""
"certificate_compression","www.urssaf.fr/193.178.136.246","443","INFO","none","",""
"clientAuth","www.urssaf.fr/193.178.136.246","443","INFO","none","",""
"cert_numbers","www.urssaf.fr/193.178.136.246","443","INFO","1","",""
"cert_signatureAlgorithm","www.urssaf.fr/193.178.136.246","443","OK","SHA256 with RSA","",""
"cert_keySize","www.urssaf.fr/193.178.136.246","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.urssaf.fr/193.178.136.246","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.urssaf.fr/193.178.136.246","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.urssaf.fr/193.178.136.246","443","INFO","0458AB1E71F50CCD55957F2F92CD25AD","",""
"cert_serialNumberLen","www.urssaf.fr/193.178.136.246","443","INFO","16","",""
"cert_fingerprintSHA1","www.urssaf.fr/193.178.136.246","443","INFO","DE19A56F89FE0C17ED36D653C3CA3DEEBBB9099D","",""
"cert_fingerprintSHA256","www.urssaf.fr/193.178.136.246","443","INFO","FA547B6AD0176FEFF37AF9FEC55AA04EF6C70E7FEF0E980076B46EFCF444119B","",""
